Tileposition,Tile,Rod,Family
3,11,119,BKxLS
11,12,123,BKxLS
10,13,101,BKxLS
16,14,95,BKxLS
10,15,122,BKxLS
6,16,99,BKxLS
4,17,85,BKxLS
12,18,104,BKxLS
13,19,100,BKxLS
16,20,94,BKxLS
16,21,83,BKxLS
11,22,93,BKxLS
1,23,89,BKxLS
5,24,91,BKxLS
6,25,86,BKxLS
4,26,90,BKxLS
16,27,82,BKxLS
9,28,87,BKxLS
13,29,92,BKxLS
14,30,88,BKxLS
2,31,84,BKxLS
11,32,73,BKxLS
5,33,76,BKxLS
14,34,75,BKxLS
3,35,128,BKxLS
14,36,79,BKxLS
11,37,127,BKxLS
9,38,108,BKxLS
5,39,110,BKxLS
16,40,72,BKxLS
16,41,96,BKxLS
1,42,124,BKxLS
15,43,103,BKxLS
7,44,106,BKxLS
6,45,129,BKxLS
11,46,109,BKxLS
6,47,126,BKxLS
11,48,111,BKxLS
3,49,107,BKxLS
3,50,125,BKxLS
11,51,97,BKxLS
8,52,115,BKxLS
7,53,114,BKxLS
3,54,117,BKxLS
11,55,130,BKxLS
7,56,112,BKxLS
10,57,113,BKxLS
9,58,116,BKxLS
12,59,131,BKxLS
12,60,136,BKxLS
1,61,132,BKxLS
6,62,140,BKxLS
11,63,135,BKxLS
3,64,133,BKxLS
12,66,137,BKxLS
12,67,139,BKxLS
1,68,134,BKxLS
16,79,80,BKxLS
13,86,147,BKxLS
15,1,84,CUxBK
5,2,117,CUxBK
3,3,108,CUxBK
2,4,86,CUxBK
15,4,147,CUxCU
11,5,107,CUxBK
3,6,109,CUxBK
11,7,75,CUxBK
2,8,111,CUxBK
9,9,114,CUxBK
2,10,119,CUxBK
7,11,115,CUxBK
1,12,113,CUxBK
11,13,116,CUxBK
1,14,92,CUxBK
9,15,118,CUxBK
7,16,79,CUxBK
2,17,76,CUxBK
12,18,81,CUxBK
7,19,83,CUxBK
12,20,98,CUxBK
12,22,123,CUxBK
14,21,73,CUxBK
8,23,77,CUxBK
9,24,103,CUxBK
13,25,85,CUxBK
4,26,74,CUxBK
2,27,72,CUxBK
9,28,82,CUxBK
8,29,120,CUxBK
3,30,124,CUxBK
,31,,CUxBK
5,32,122,CUxBK
13,33,125,CUxBK
1,37,112,CUxBK
8,34,121,CUxBK
5,35,126,CUxBK
4,38,80,CUxBK
9,39,110,CUxBK
5,40,94,CUxBK
7,41,97,CUxBK
5,41,148,CUxCU
2,42,78,CUxBK
12,43,100,CUxBK
9,44,93,CUxBK
11,45,87,CUxBK
4,46,105,CUxBK
15,47,88,CUxBK
1,48,127,CUxBK
10,65,106,CUxBK
14,66,99,CUxBK
12,67,90,CUxBK
10,68,96,CUxBK
1,69,101,CUxBK
4,70,102,CUxBK
4,71,104,CUxBK
7,72,95,CUxBK
16,73,91,CUxBK
16,74,89,CUxBK
15,1,86,CUxCU
13,2,96,CUxCU
6,3,100,CUxCU
5,5,83,CUxCU
3,6,110,CUxCU
13,7,84,CUxCU
4,8,98,CUxCU
5,9,129,CUxCU
15,10,91,CUxCU
4,11,114,CUxCU
13,12,80,CUxCU
12,13,93,CUxCU
3,14,132,CUxCU
10,15,92,CUxCU
3,16,81,CUxCU
9,17,78,CUxCU
8,18,118,CUxCU
1,19,82,CUxCU
7,20,131,CUxCU
15,21,97,CUxCU
6,22,116,CUxCU
7,23,85,CUxCU
14,24,94,CUxCU
1,25,131,CUxCU
2,26,129,CUxCU
1,27,79,CUxCU
1,28,117,CUxCU
1,29,95,CUxCU
10,30,107,CUxCU
10,31,115,CUxCU
11,32,106,CUxCU
12,33,99,CUxCU
10,34,104,CUxCU
7,35,121,CUxCU
12,36,101,CUxCU
12,37,102,CUxCU
4,38,122,CUxCU
12,39,105,CUxCU
7,40,148,CUxCU
1,42,119,CUxCU
7,43,120,CUxCU
14,44,103,CUxCU
5,45,124,CUxCU
2,46,127,CUxCU
2,47,125,CUxCU
14,48,108,CUxCU
9,49,109,CUxCU
2,50,123,CUxCU
